Date_Time,lights,Monitor 1 Spider 1,Monitor 1 Spider 2,Monitor 1 Spider 3,Monitor 1 Spider 4,Monitor 1 Spider 5,Monitor 1 Spider 6,Monitor 1 Spider 7,Monitor 1 Spider 8,Monitor 1 Spider 9,Monitor 1 Spider 10,Monitor 1 Spider 11,Monitor 1 Spider 12,Monitor 1 Spider 13,Monitor 1 Spider 14,Monitor 1 Spider 15,Monitor 1 Spider 16,Monitor 1 Spider 17,Monitor 1 Spider 18,Monitor 1 Spider 19,Monitor 1 Spider 20,Monitor 1 Spider 21,Monitor 1 Spider 22,Monitor 1 Spider 23,Monitor 1 Spider 24,Monitor 1 Spider 25,Monitor 1 Spider 26,Monitor 1 Spider 27,Monitor 1 Spider 28,Monitor 1 Spider 29,Monitor 1 Spider 30,Monitor 1 Spider 31,Monitor 1 Spider 32
2017-04-21 01:28:00,0,0,0,3,16,2,2,3,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0
2017-04-21 01:29:00,0,0,0,0,4,3,0,12,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0
2017-04-21 01:30:00,0,0,0,0,4,11,6,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2017-04-21 01:31:00,0,0,0,0,17,4,0,0,0,3,0,9,0,0,0,0,0,0,0,0,15,0,0,3,0,5,0,0,0,0,0,13,12
2017-04-21 01:32:00,0,0,0,0,9,7,7,0,0,2,0,4,0,0,0,0,0,0,0,0,37,0,0,0,0,5,0,0,0,0,0,0,0
2017-04-21 01:33:00,0,0,0,0,3,5,18,4,0,2,0,4,0,0,0,0,0,0,0,0,21,0,0,11,0,10,0,0,0,0,0,14,0
2017-04-21 01:34:00,0,0,0,0,8,10,2,9,15,6,0,1,0,0,0,0,0,0,0,1,6,0,0,4,4,8,0,0,0,0,0,0,0
2017-04-21 01:35:00,0,0,0,0,6,2,2,0,0,0,0,4,0,0,0,0,0,0,0,5,8,0,0,0,3,0,0,0,0,0,0,0,0
2017-04-21 01:36:00,0,0,0,0,2,2,0,3,0,7,0,4,3,0,0,0,0,0,0,7,18,12,0,0,4,6,0,0,0,0,0,0,0
2017-04-21 01:37:00,0,0,0,0,7,0,0,5,0,6,0,7,0,0,0,0,0,0,0,15,10,1,0,0,1,12,0,0,0,0,0,0,0
2017-04-21 01:38:00,0,0,0,0,2,5,3,38,3,4,0,2,0,0,0,0,0,0,0,6,5,3,0,10,2,38,0,0,0,0,0,0,0
2017-04-21 01:39:00,0,0,0,0,2,0,3,44,11,11,0,0,0,0,0,0,0,0,0,9,2,7,0,1,2,6,0,0,0,0,0,0,0
2017-04-21 01:40:00,0,0,0,5,3,2,0,6,6,7,0,0,4,0,0,0,0,0,0,7,0,2,0,1,5,8,0,0,0,0,0,0,0
2017-04-21 01:41:00,0,0,0,6,7,15,0,8,4,4,0,0,1,0,0,0,0,0,0,2,0,8,0,0,0,6,0,0,0,0,0,0,0
2017-04-21 01:42:00,0,0,0,1,3,3,0,3,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,1,2,6,0,0,0,0,0,0,0
2017-04-21 01:43:00,0,0,0,6,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,5,15,2,0,18,1,8,0,0,0,0,0,0,0
2017-04-21 01:44:00,0,0,0,3,2,0,16,9,0,3,0,0,0,0,0,0,0,0,0,10,4,2,0,5,2,2,0,0,0,0,0,0,0
2017-04-21 01:45:00,0,0,0,1,5,9,4,8,1,4,0,0,5,0,0,0,0,0,0,2,27,0,0,4,0,8,0,0,0,0,0,0,0
2017-04-21 01:46:00,0,0,0,2,0,0,0,7,10,6,0,0,4,0,0,0,0,0,0,6,22,6,0,1,4,6,0,0,4,0,0,0,0
2017-04-21 01:47:00,0,0,0,0,12,2,7,12,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,4,0,1,0,0,6,0,0,0,0
2017-04-21 01:48:00,0,0,0,9,0,0,0,16,2,10,0,0,0,0,0,0,0,0,0,6,10,0,0,1,3,0,0,0,7,0,0,0,0
2017-04-21 01:49:00,0,0,0,18,15,10,0,26,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,2,7,0,0,0,4,0,0,0,0
2017-04-21 01:50:00,0,0,0,0,10,13,0,12,0,7,0,0,3,0,0,0,0,0,0,0,11,1,0,1,1,0,0,0,2,0,0,0,0
2017-04-21 01:51:00,0,0,0,1,0,2,0,36,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,9,0,0,0,0
2017-04-21 01:52:00,0,0,0,6,4,18,0,19,1,9,0,0,4,41,0,0,0,0,0,0,5,3,0,3,4,0,0,0,4,0,0,0,0
2017-04-21 01:53:00,0,0,0,6,1,0,17,32,1,18,0,0,3,6,0,0,0,0,0,0,11,2,0,2,7,0,0,0,7,0,0,0,0
2017-04-21 01:54:00,0,0,0,0,3,0,0,14,23,4,0,0,0,0,0,0,0,0,0,0,3,3,0,2,5,0,0,0,8,0,0,0,0
2017-04-21 01:55:00,0,0,0,4,7,0,2,5,14,3,0,0,0,23,0,0,0,0,0,0,7,2,0,0,1,0,0,0,5,0,0,0,0
2017-04-21 01:56:00,0,0,0,2,6,3,3,0,0,2,0,0,0,3,0,0,0,0,0,0,5,16,0,3,0,0,0,0,3,0,0,0,0
2017-04-21 01:57:00,0,0,0,3,0,14,1,0,3,0,0,0,0,7,0,0,0,0,37,0,0,0,0,2,0,0,0,0,5,0,0,0,0
2017-04-21 01:58:00,0,0,0,2,4,1,9,0,0,0,0,0,0,2,0,1,0,0,0,0,13,3,0,1,20,0,0,0,3,0,0,0,0
2017-04-21 01:59:00,0,0,0,5,5,5,10,0,10,4,0,0,0,3,0,16,0,0,0,0,8,2,0,1,17,0,0,0,2,0,0,0,0
2017-04-21 02:00:00,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,3,0,0,0,0,6,2,0,1,2,0,0,0,2,0,0,0,0
2017-04-21 02:01:00,0,0,0,12,13,0,2,0,0,9,0,0,5,2,0,8,0,0,0,0,11,0,0,0,2,0,0,0,6,0,0,0,0
2017-04-21 02:02:00,0,0,0,9,14,3,1,0,0,2,0,0,3,23,0,9,0,0,3,0,0,0,0,2,1,0,0,0,3,0,0,0,0
2017-04-21 02:03:00,0,0,0,0,4,4,1,0,0,5,0,0,3,0,0,5,0,0,0,0,0,2,0,2,2,0,0,0,8,0,0,0,0
2017-04-21 02:04:00,0,0,0,2,11,3,2,0,0,10,0,0,0,3,0,5,0,0,10,0,3,3,0,1,3,0,0,0,4,0,0,0,0
2017-04-21 02:05:00,0,0,0,2,7,2,2,0,0,7,0,0,13,45,0,9,0,0,18,0,7,0,0,0,2,0,0,0,3,0,0,0,0
2017-04-21 02:06:00,0,0,0,0,0,0,0,0,3,1,0,0,40,5,0,3,0,0,3,0,2,17,0,0,0,0,0,0,7,0,0,0,0
2017-04-21 02:07:00,0,0,0,5,13,5,2,0,2,0,0,0,3,11,0,5,0,0,22,0,6,0,0,0,5,0,0,0,2,0,0,0,0
2017-04-21 02:08:00,0,0,32,15,9,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0
2017-04-21 02:09:00,0,0,22,3,9,4,0,0,12,1,0,0,3,2,0,6,0,0,4,0,4,1,0,3,2,0,0,0,5,0,0,0,0
2017-04-21 02:10:00,0,0,15,0,9,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,3,0,0,0,0
2017-04-21 02:11:00,0,0,0,23,8,0,0,0,5,7,0,0,0,2,0,4,0,0,9,0,7,12,0,0,4,0,0,0,3,0,0,0,0
2017-04-21 02:12:00,0,0,19,0,10,0,0,0,6,0,0,0,0,23,0,2,0,0,6,0,15,4,0,3,1,0,0,0,2,0,0,0,0
2017-04-21 02:13:00,0,0,0,0,11,5,8,0,0,19,0,0,0,5,0,3,0,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,0
2017-04-21 02:14:00,0,0,0,0,4,1,8,0,0,7,0,0,0,17,0,1,0,0,8,0,2,0,0,1,4,0,0,0,4,0,0,0,0
2017-04-21 02:15:00,0,0,0,0,10,0,8,0,30,4,0,0,0,33,0,3,0,0,2,0,6,0,0,2,3,0,0,0,0,0,0,0,0
2017-04-21 02:16:00,0,0,0,0,2,3,11,0,0,28,0,0,1,74,0,8,0,0,25,0,6,12,0,2,4,0,0,0,5,0,0,0,0
2017-04-21 02:17:00,0,0,0,0,3,8,0,0,10,9,0,0,0,84,0,5,0,0,2,0,0,0,0,2,5,0,0,0,4,0,0,0,0
2017-04-21 02:18:00,0,0,0,0,4,5,9,0,7,0,0,0,0,8,0,4,0,0,0,0,11,0,0,1,4,0,0,0,3,0,0,0,0
2017-04-21 02:19:00,0,0,0,0,5,20,0,0,0,0,0,0,0,29,0,6,0,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,0
