Index,Day,Time,Light,Sp4,Sp5,Sp9,Sp10,Sp11,Sp12,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp21,Sp25
19833,1,2024-05-01 10:15:00,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0
19834,1,2024-05-01 10:16:00,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0
19835,1,2024-05-01 10:17:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19836,1,2024-05-01 10:18:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19837,1,2024-05-01 10:19:00,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
19838,1,2024-05-01 10:20:00,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
19839,1,2024-05-01 10:21:00,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0
19840,1,2024-05-01 10:22:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19841,1,2024-05-01 10:23:00,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
19842,1,2024-05-01 10:24:00,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0
19843,1,2024-05-01 10:25:00,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
19844,1,2024-05-01 10:26:00,1,0,0,0,0,0,7,4,0,0,0,0,0,0,0
19845,1,2024-05-01 10:27:00,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
19846,1,2024-05-01 10:28:00,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0
19847,1,2024-05-01 10:29:00,1,0,0,0,4,0,8,0,0,0,0,0,0,0,0
19848,1,2024-05-01 10:30:00,1,0,0,0,2,3,5,0,0,0,0,0,0,0,0
19849,1,2024-05-01 10:31:00,1,0,0,0,2,1,4,0,0,0,0,0,0,0,0
19850,1,2024-05-01 10:32:00,1,0,0,0,4,0,14,0,0,0,0,0,0,0,0
19851,1,2024-05-01 10:33:00,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
19852,1,2024-05-01 10:34:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19853,1,2024-05-01 10:35:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19854,1,2024-05-01 10:36:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19855,1,2024-05-01 10:37:00,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0
19856,1,2024-05-01 10:38:00,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
19857,1,2024-05-01 10:39:00,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0
19858,1,2024-05-01 10:40:00,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0
19859,1,2024-05-01 10:41:00,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
19860,1,2024-05-01 10:42:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19861,1,2024-05-01 10:43:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19862,1,2024-05-01 10:44:00,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
19863,1,2024-05-01 10:45:00,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
19864,1,2024-05-01 10:46:00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19865,1,2024-05-01 10:47:00,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
19866,1,2024-05-01 10:48:00,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
19867,1,2024-05-01 10:49:00,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0
19868,1,2024-05-01 10:50:00,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
